attraction_name,Rating,description,Best Time To Visit,country
Former Saint Joseph's Institution,2.2,"The Former Saint Joseph's Institution is a historic building in Singapore located at Bras Basah Road in the Museum Planning Area, within the Central Area. Currently, it is also known as the Singapore Art Museum as it houses the same. It was designated as one of the National monuments of Singapore in 1992.",,singapore
Mount Serapong,2.2,"One of the forgotten treasures of Singapore, Mount Serapong is a small hill in Sentosa Island where the dilapidated ruins of Fort Serapong are located. A place of visit for only the true explorers, the post-apocalyptic ruins on Mount Serapong date back to 1885 – the fort was once used to ward off pirates and invaders. Amongst the tourist attractions on the island and the luxury lifestyle of Sentosa Cove, this place seems quite out of the place as it is almost completely reclaimed by nature. The remnants still found in the area include underground magazines, support structures, casemates and a bunker which is 20 metres under the casemates and once served as a command centre.",,singapore
Masjid Malabar,NaN,"Sitting in a quiet corner with Victoria Street on one side and Jalan Sultan on the other, the magnificent Malabar Muslim Jama-Ath Mosque, or simply the Masjid Malabar, is the only mosque in the multicultural city of Singapore which is under the management of the Malabar Muslim Community. The mosque gets its unique charm from a blue and white facade that is glorified with a golden dome on top making it popular as the “Golden Dome Mosque.” It is also renowned as the little cousin of the Sultan Mosque because of similar golden domes structures.",,singapore
Botanic Garden Tanglin Gate,NaN,"The Botanic Gardens house some of the unique gardens in Singapore that use incredibly progressive techniques to nurture their plants. The Tanglin Gate Entrance of the Botanic Gardens is one of the four main entrances. This gate is also well known as the main entrance gate. Established in 1859, Tanglin Gate is sought to be the oldest part of the Botanic Gardens which is clearly shown in its exhibits that contain a rich amount of heritage and history and showcases them with pride. The Tanglin Gate Core contains age-old fixtures such as the Swan Lake and the Bandstand while also housing important buildings such as the SBG Heritage Museum and CDL Green Gallery, as well as gardens, such as the Sun Garden and the Bonsai Garden.",,singapore
Chingay Parade Singapore,NaN,"The Chingay Parade is an annual celebration of the Lunar New Year, held at the Marina Bay Circuit in Singapore’s Central Area. Derived from the Mandarin word for ‘costume,’ this iconic extravaganza conducted by the People’s Association showcases the best of the Lion City’s diverse and unique culture, with captivating lights, huge floats, costumed characters, street performances, and props. Named Asia’s largest street parade, this electrifying fiesta features extravagant and intricately decorated floats, cultural dance shows, dancing dragons, martial arts displays, stilt walkers, and aerial performances that span different cultures, ethnicities, and traditions.",,singapore
Mosaic Music Festival,NaN,"A festival for all the music enthusiasts, the Mozaic Music Festival is a decades-old tradition that features phenomenal musicians of different and unconventional genres. Extending over a week, this exceptional music festival has singers and musicians from across the country and overseas. With a deeper intention of bridging the gap between Singaporean and International music artists, this music festival is held at Esplanade - Theatres on the Bay. With genres like indie rock, hip-hop, folk, jazz, and other unconventional fortes, the Mosaic Music Series aims to bring the musical community of Singapore together and deepen its appreciation for new exceptional and experimental styles.",,singapore
Singapore International Jazz Festival,NaN,"The Singapore International Jazz Festival is a popular jazz musical celebration held every year in the Lion City, featuring award-winning international sensations and local talent. Also known as SingJazz, this extravaganza is held yearly at the Marina Bay Sands and features the best of blues, jazz, and swing music from around the globe. Attended by more than twenty thousand music enthusiasts last year, the event has seen musicians like Grammy-winning Lalah Hathaway, Kamie Cullum, David Foster, Nik West, Soul II Soul, Incognito, and Lauryn Hill grace the stage in power-packed performances.",,singapore
Singapore Food Festival,NaN,"If you love food and if you love travelling, Singapore's annual food fiesta may as well be your gastronomical escape to heavenly food at every turn. The food stall authorities definitely know how to seize this opportunity and bring out the best of Singapore's passion for food, with an over the top range of multicultural, heritage and explorative culinary experiences. A perfect blend of more than a dozen scrumptious escapades, this food festival features traditional, contemporary, local and international flavours. With a particular emphasis on Singaporean Cuisine, the SFF is mainly oriented toward conveying Singapore's culture and heritage and bridging the gap of awareness through food. The food festival not only offers food but also presents to you craft workshops, cooking demonstrations and theatrical experiences.",,singapore
Vesak Day,NaN,"Vesak Day is a religious festival celebrated by Buddhists all over the world, falling in April-May every year. The most significant day in the Buddhist calendar, the Buddhists in Singapore and all over the world celebrate this day as the birth, enlightenment, and passing of the Buddha. Also known as Buddha Purnima, this festival enumerates the message of the Buddha and aims to remind devotees of their sacred duties of peace and tolerance.",,singapore
Great Singapore Sale,NaN,The Great Singapore Sale is one of the biggest shopping festivals in Singapore. This month-long event is all about great buys at discounted rates and taking part in exciting activities that are particularly organised for the occasion. Even the smaller shops in different parts of the city take part in the sale and offer steep discounts on the original price. The Great Singapore Sale is managed by the Singapore Retailers Association and aims at boosting tourism in this region.,,singapore
Haji Lane,NaN,"One of the narrowest streets in Singapore, Haji Lane is a chic alleyway splattered with colourful independent boutiques, cafes and quirky stores, sitting in the heart of Kampong Glam. The Bohemian street is lined with yoga centres, tattoo parlours, and vintage Egyptian restaurants attracting the young crowd who visit Haji Lane to shop at Singapore's nifty shops or just hang out with friends. The colourful graffiti splashed all across Haji Lane is another major attraction beckoning indie-minded shoppers looking to buy trendy and affordable brands.",,singapore
Ann Siang Hill,NaN,"A place where rich history meets the modern and hippy trends, a place where you'll find resorted shopping stores, restaurants and niche boutiques, a place that'll leave you in awe, is Ann Siang Hill in Chinatown, Singapore. If Clarke Quay is the queen of parties, then the Ann Siang Road and Club Street area is its lose cousin with the same lively and fun vibes. The place gets charged with an electrifying aura as soon as the sun goes down and becomes favourite among the night lovers.",,singapore
Lim Bo Seng Memorial,2.8,"Lim Bo Seng Memorial is an octagonal shaped pagoda, commemorating Major-General Lim Bo Seng - one of Singapore's war heroes during World War II. Located in Esplanade Park, this national monument is the only war memorial that commemorates an individual's contribution in World War II. Unveiled in 1954, the 3.6-metre high bronze pagoda is built in the Chinese national style architecture, making use of concrete and marble. Covered by a three-tiered bronze roof, four lions sit at the base.",,singapore
NTU Centre For Contemporary Art Singapore,2.8,"The NTU Centre for Contemporary Art, abbreviated as NTU CCA Singapore, is a research centre lying in the campus of the Nanyang Technological University, which is one of the most reputed universities in the world. Located at Gillman Barracks at Block 6 Lock Road, it has been widely acclaimed for hosting exemplary exhibitions, research and academic education, and residencies. The Centre does it through various modes like exhibitions, lectures, workshops, open studios, and film screenings. NTU CCA also encourages visits by researchers and curators for their study.",,singapore
Istana Heritage Gallery,2.8,"The Istana Heritage Gallery, located within the Istana Park is just opposite Istana, the official residence of the President of Singapore. The gallery contains a number of displays that highlight the historical importance of Istana. It was opened to the public in 2016 and can be reached by travelling along the Orchard Road. The exhibits trace the history of Istana that served as the Governor’s House during the Colonial period to its present-day role of being the Presidential office.",,singapore
Seng Wong Beo Temple,2.7,"Sitting behind the crimson gates at Peck Seah Street, the quirky Seng Wong Beo Temple, also known as the Du Cheng Huang Gu Miao Temple, has unflinchingly preserved the age-old practice of hosting ghost marriages. Devoted to Wei Ling Gong, the Chinese City God, this temple is where the wedding bells are chimed for the deceased.",,singapore
Cathay Gallery,2.7,"The Cathy Gallery is an art and film museum located in Orchard Road, in Singapore’s Museum Planning Area. A favourite among film enthusiasts, history buffs, and the eccentric hipster class, this Gallery is home to vintage movie posters, early cameras, film equipment of the twentieth century, and other memorabilia from the golden age of Singaporean cinema. Nostalgia beckons at every step in this museum, full of snippets from the film history of the region.",,singapore
Masjid Al-Abrar,2.7,"Sitting in a busy corner of Telok Ayer Street in the Chinatown district of Singapore, the Al-Abrar Mosque, more commonly referred to as the Masjid Al-Abrar, is a quaint little mosque built by early Tamilian immigrants. As dawn approaches, the air encompassing the locality is filled with the echoes of the morning prayers originating from inside the Al-Abrar Mosque. In spite of being small, the mosque receives many faithful worshippers who come here on a daily basis to offer their prayers to Allah. It is particularly packed with devotees on Fridays, with people flocking in during the midday prayers.",,singapore
Gajah Gallery Singapore,2.7,"Positioned currently in Tanjong Pagar, an industrial warehouse neighbourhood in Singapore, Gajah Gallery is a treasure trove where visitors can find exemplary works of art and aesthetics. Previously housed in MICA Building, Gajah Gallery was opened way back in 1996 and has since expanded to become one of Asia’s most culturally significant houses of artwork. Here, visitors can find a vivid diaspora of Asian modern art, not to be seen anywhere else.",,singapore
Petain Road Singapore,2.7,"Petain Road is an artsy neighbourhood in Little India, Singapore. Known for its eighteen Chinese baroque-style terraced shophouses built in the early twentieth century, Perak Road is frequented by the hipster crowd, fashionistas, and photographers for its Instagram-worthy photo-ops, and tourists looking to buy oriental ware from the stores. While the area is notorious for being a red-light district, there are a number of stunning family-friendly boutiques, antique shops, and avant-garde teahouses that perfectly preserve the vintage feel of the area.",,singapore
Wei Tuo Fa Gong Temple,2.6,"The sacred Wei Tuo Fa Gong Temple is a Buddhist place of worship situated at the gorgeous island, Pulau Ubin in Singapore. Seated on a small hillock that offers a beautiful view of a nearby pond teeming with turtles and carps, this pristine temple houses shrines dedicated to different Hindu and Buddhist gods. The sight of innumerable coloured prayer flags adorning the area is breathtaking, beckoning a considerable number of visitors. The exquisite Wei Tuo Fa Gong Temple emits a serene aura which is perfect to meditate in peace.",,singapore
Angullia Mosque,2.6,"One of Singapore's oldest mosques, the Angullia Mosque is an iconic landmark in the vicinity of Serangoon Road and Little India. Also known as Masjid Angullia, it has been an epitome of faith and core Islamic values for more than one hundred and twenty years serving the Muslim community of this area in Singapore.",,singapore
Ikkan Art International,2.6,"Ikkan Art International, Singapore is a branch of the Ikkan Art, that was established in New York in 1982. In 2011, this branch was introduced in Singapore as a versatile, multi-purpose art gallery. This art gallery is heavenly for fans of art and culture. The gallery holds multiple exhibitions throughout the year based on different themes that attract a lot of crowds, and it is no surprise that Ikkan Art International is a major tourist attraction in Singapore.",,singapore
Chan+Hori Contemporary,2.6,"Chan+Hori Contemporary is a gallery situated at Block 6 Lock Road which was opened in 2017 and aims to connect contemporary art forms to everyday life. The Gallery has collaborated with several national and international artists, institutions, art councils, and corporate entities. Through this, the Gallery has been hosting special exhibitions related to socio-economic themes and other cultural discourses.",,singapore
iFly,2.6,"iFly Singapore is an indoor skydiving simulation venue near Siloso Beach Station. A franchise of the popular SkyVenture, iFly offers authentic free-falling simulations within an indoor wind tunnel, featuring a thrilling 90-second drop.",,singapore
Henderson Waves,2.5,"Standing at the height of thirty-six metres above Henderson Road, the Henderson Waves Bridge is the highest pedestrian bridge of Singapore. Take a walk along this engineering marvel to relish a panoramic view of Singapore skyline and the lush greenery enveloping the bridge. It is illuminated with bright, psychedelic lights till 2.00 AM, rendering a different charm altogether.",,singapore
Hawker Centres,2.5,"What makes a place worthy of being visited again and again? Sure, the topography, the historically significant spots, the rich cultural heritage, and the places of interest are important factors. However, one thing that surpasses all these points is food. The local cuisine of a place is one of the most significant factors when it comes to deciding if the place in question deserves a second visit. In this respect, Singapore has never disappointed its guests, or locals, for that matter. Be it the spicy Chilli Crab that makes your eyes water or the delicious Kuih for your sweet tooth, Singaporean cuisine is a storehouse of scrumptious food. From Indian to Chinese, from Malay to American, the bustling city-state is ideal for the foodie in you.",,singapore
Maxwell Food Centre,2.5,"One of the best hawker centres (food court) in Singapore, the Maxwell Food Centre is located at the culturally rich area of Chinatown. Catering to gastronomes from around the world, it is the place to go for savouring authentic Singapore street food.",,singapore
Chinese New Year in Singapore,2.5,"Synonymous with bright colours, celebration, revelry, sheer joy, and love; the Chinese New Year is undoubtedly one of the most important festivals celebrated in Singapore. Also referred to as the Spring Festival or the Lunar New Year, it falls on the first day of the first month of the traditional lunisolar Chinese calendar and is a time of merrymaking. Being the only festival which calls for a public holiday for two consecutive days, Chinese New Year is one of the favourites among the Singaporeans.",,singapore
Zoukout,2.5,"Securing the position of one of Asia's biggest beach dance and music festivals, ZoukOut is a two-day event held at Siloso Beach each year. Internationally acclaimed DJs, fun-filled activities, and a whole lot of delicious food are what make this event one of the grandest events across the entire world.",,singapore
Geylang,2.5,"Singapore may be aptly called the city which never sleeps. A place where sophistication and gaiety run side by side, where sobriety and wildness travel parallelly, where the early bird and the night owl coexist in harmony, Singapore is a mark above the rest. Out of the several places that make up this bustling city-state, the one place that buzzes with excitement and thrill is Geylang. Situated at the eastern part of Singapore's central region, this township is home to a majority of the Malay community. Singapore's historical artefacts and topographical maps bear a witness to the fact that the word Geylang was used to signify the coconut plantations and marshlands lying in close proximity to the Kallang River.",,singapore
OCBC Skyway,2.5,"OCBC Skyway, located at the famous Gardens by the Bay in Singapore, is a 128-metre long aerial walkway connecting six Supertrees at the Supertree Grove. Situated at a height of 22-metres, with mesmerizing, panoramic views of and beyond the beauty of the Gardens by the Bay and the Marina Bay skyline that encompasses the area, the OCBC Skyway is one of the most ideal places to find peace and tranquillity. The stunning OCBC Skyway is the ideal place to witness the gob-smacking Garden Rhapsody (light and sound show) in all its glory.",,singapore
Church Of The Holy Family Singapore,2.5,"Located at the junction of East Coast Road and Chapel Road in Katong Singapore, the Church of the Holy Family is a four-storeyed roman catholic church with a brilliant white and grey facade. The highlight of the edifice is its multicoloured 16-panelled stained glass right above the altar which depicts the Holy Family and snippets of Jesus Christ's life during his last days. The stained glass was imported from Italy, especially for the church itself.  A statue of Mother Mary also stands inside a grotto of the church. Also known as Holy Family Church and Katong Catholic Church, it is a well-known landmark and an important place of worship in Katong area.",,singapore
Bukit Brown Cemetery,2.5,"Bukit Brown Cemetery, popularly known as Kopi Sua or Coffee Hill among the local communities, is a former cemetery situated at 36C Lorong Halwa, Singapore. Estimated to hold about 100,000 graves, this Chinese cemetery is said to be the largest outside China.",,singapore
Singapore Philatelic Museum,2.5,Singapore Philatelic Museum portrays the history of Singapore's postals and stamps. The museum features an assortment of stamps along with the heritage and history of various philatelic items spread across many galleries. The interactive exhibitions offer a window into the Lion City and other parts of the world through the postage stamps.,,singapore
Singapore Visitor Centre,2.5,"A two storey Peranakan shophouse in the Emerald Hill area, Orchard Road, the Singapore Visit Centre (SVC) can more so be regarded as a one-stop shop for tourists and travellers. From selling locally designed souvenirs to tours and attractions, event tickets to the booking of accommodations, the Singapore Visitor Centre caters to all traveller/tourist needs. One of the main highlights is its efficient use of technology to aid and assist visitors and tourists. The SVC has four different interactive kiosks that let the visitors browse through different attractions/ options and curate their own customised digital itinerary. This itinerary can either be emailed to the visitors or printed then and there. Apart from this, it houses two huge screens displaying various events and places of interests in the city.",,singapore
Swan Lake,2.5,"Forming one of the most gorgeous entrances to the magnificent Singapore Botanic Gardens, the Swan Lake is a large, beautiful, man-made lake that adds to the scenic beauty of this national park. Considered the oldest water ornament of Singapore, this massive lake spans an area of 1.5 hectares and a depth of 4m, housing a pair of elegant mute swans which have given this water body its name.",,singapore
Jalan Besar,2.5,"Jalan Besar is a one-way road in Singapore, connecting Kallang to Rochur. Meaning 'wide road' in Malay, Jalan Besar has been increasingly developing as one of Singapore's newest and most popular hipster joints. Earlier known for its rubber factories and industrial plants, Jalan Besar is now popular for delicious cupcakes, seafood, artisanal coffee and even traditional Singaporean food. Alongside these cafes, the Jalan Besar Stadium also draws many visitors to this area.",,singapore
The Intan,2.5,"The Intan is an unconventional museum that preserves all things Peranakan over 20 years now. Extremely famous for its signature tea experience, the Intan is concealed in a Joo Chiat Terrace House. Visitors especially come here to witness the Peranakan tea culture which the Intan museum-cum-house perfectly does justice to. It is a must-visit to have a sneak-peek into the grandeur of the heritage and way of living of the Peranakans.",,singapore
Tiong Bahru,2.5,"Tiong Bahru is Singapore's hippest neighbourhood with some of the city's most popular food and lifestyle establishments. Built between the 1930s and 50s, comprising grid-like streets of whitewashed, three-storey, spiral-staircase apartments, this was the country's first public housing project. A few buildings are architecturally unique for looking like aeroplane wings. The area doesn't only have cafes and restaurants, but also amazing bookshops, patisseries, spas, and art galleries! Enjoy some amazing food, offbeat shopping, a yoga session, or even a grooming session, while having a taste of the culturally rich, traditional Singapore. Tiong Bahru is one of Singapore's most characterful neighbourhoods, a favourite amongst locals and tourists, alike.",,singapore
Yueh Hai Ching Temple,NaN,"Well known as Wak Hai Cheng Bio, Yueh Hai Ching Temple is one of the oldest Taoist places of worship in Singapore. Located in Raffles Place in the heart of Singapore’s central business district, the temple is dedicated to Xuan Tian Shang Di and Tian Hou Sheng Mu, and is also known as the 'Temple of Love'. Yueh Hai Ching Temple has a mesmerising asymmetric layout that reflects Chinese architecture with immense Taoist influence making it a must-visit for people who love exploring ancient architecture or have a spiritual bent of mind.",,singapore
Nanyang Academy Of Fine Arts,2.5,"Nanyang Academy of Fine Arts, or more famously NAFA, is one of the most prestigious schools for Arts in Singapore. Established in 1938, the well-reputed academy is spread across four campuses which are within walking distance from each other. Aside from its quality education and diverse curriculum, the Academy is well known for its various galleries and events. These galleries and exhibits are often open for public visitation and are highly recommended for those with interest in the Arts.",,singapore
Sundaram Tagore Gallery Singapore,2.5,"The Sundaram Tagore Gallery is a modernist contemporary art gallery located in the Gillman Barracks near Labrador Park. Founded in 2000 in New York, the gallery looks to explore the contrast and interactions between different cultures of the world with its interactive, post-modern exhibitions. The gallery in the Lion City specializes in Southeast Asian artists and their heritage. This venue is frequented by Singapore’s elite connoisseurs of art, history buffs, students, and curious tourists alike.",,singapore
Cycling at Pulau Ubin,2.5,"Away from the busy traffic and the blaring horns, from the soaring skyscrapers and the bustling highways, explore your way through the peaceful streets of Pulau Ubin at your own pace on a bicycle. Situated off the coast of north-eastern Singapore, Pulau Ubin, which means ""Granite Island"", is endowed with towering coconut trees which sway with the cool breeze, wonderful shorelines, and an abundance of flora and fauna. Explore the scenic beauty of this dense island, teeming with fascinating wildlife like monkeys, wild boars and Malayan water monitors, surrounded by bright and beautiful flowers while breathing in the fresh, unpolluted air.",,singapore
People's Park Complex,2.5,"Located within People's Park on Eu Tong Sen Street, the People's Park Complex is a high rise residential and commercial building. 31 storeys high, it was the first of its kind shopping complex in Southeast Asia due to its unique architecture which combined a shopping complex topped with apartments and offices. Situated in the heart of Chinatown, the People's Park Complex is visited for its electronic shops, massage parlours, and food stalls (which are the main draw).",,singapore
Malay Heritage Center,2.5,"Reopened on September 1st, 2012, the Malay Heritage Center exhibits the culture, history and heritage of the Malay Singaporeans. Malay Heritage Center is located at the Sultan Gate in Kampong Glam and is a museum and cultural centre. It is made up of several magnificent bungalows, set in a beautifully landscaped garden. The original two-storey building used to belong to the local Sultan and was known as the Sultan's Palace or Istana Kampong Glam.",,singapore
Splash N Surf,2.5,The Splash and Surf Water playground is located on the 3rd level of the Kallang Wave Mall and is the perfect refuge from the scorching sunlight and heat. It is a small but beautiful spot for young kids to enjoy the day and also a great way for adults to spend fun leisure time with family and friends!,,singapore
DUCKtours Singapore,2.5,"Calling themselves the amphibious craft, Singapore ducktours is an award-winning tourist attraction that offers you a city tour, but on a boat. First of its kind in Singapore, they have a safety record of over 15 years and has carried more than a million passengers. Duck Tours function throughout the day on an hourly basis till 6 in the evening. This one-hour long city tour starts by touring the historic Civic district and then starts off with the harbour tour which is done on an amphibious vehicle from Vietnam. It departs from the Suntec City and continues along the Marina Bay. The Boarding location is Suntec City, #01-330. The guide entertains you with quirky facts and anecdotes. The Ducktours has a live commentary in different languages throughout their 60 minutes journey. The languages include English, Mandarin, Bahasa, Indonesia, Korean and Japanese.",,singapore
Port Of Lost Wonder,2.4,"Port of Lost Wonder is a popular children's waterpark located on Sentosa Island, Singapore. It is a sought-after place to visit amongst tourists, as well as the locals, to enjoy a day out with family, and is the perfect destination for families with small children between the ages 3 years to 10 years old.",,singapore
Jurong East Malls,2.4,"Found in the busy district of Jurong East, the shopping malls of Jurong East have earned recognition worldwide as being entertainment centres of global standards. One can see a variety of facilities such as Singapore's first Olympic-size ice rink, IMAX theatres, cineplexes, sky parks, a marine-themed playground, a gym with swimming pool, and other kinds of themed playgrounds, all concentrated in one area. Shoppers and visitors will be delighted by the diverse range of retail stores and the numerous food and beverage options found within these massive malls.",,singapore
Amitabha Buddhist Centre,2.4,"Located in Geylang, Singapore, Amitabha Buddhist Centre is a centre for the study, and practice of Mahayana Buddhism. This seven-storied Tibetan Buddhist Centre aims at enlightening people and dispelling darkness from their lives by spreading Buddhist teachings and values which includes teaching the history and development of Buddhism in the region. This Buddhist Centre is for those who are inclined towards Buddhism and have a spiritual bent of mind.",,singapore
Mizuma Gallery,2.4,"Mizuma Gallery, the brainchild of Sueo Mizuma, is a contemporary art gallery in the art cluster of Gillman Barracks, Singapore. Since its establishment in September 2012, following the footsteps of its famous predecessor in Japan, Mizuma Gallery has been the point of confluence of South Eastern and Eastern art, and a medium to expand them into the international art scene. The gallery also focuses on the promotion of Japanese art to the world, making it an ideal place to visit for the art lovers.",,singapore
Cape of Good Hope Art Gallery,2.4,"The Cape of Good Hope Art Gallery, located at 231 Bain Street Singapore, showcases and promotes the emerging Singaporean talent. Acting as a platform to display the artwork of several second-generation Singaporean artists, Cape of Good Hope has been hosting frequent exhibitions and participating in art forums and fairs since the beginning, and today, it has become one of the pioneering art galleries of the nation.",,singapore
Partners & Mucciaccia,2.4,"Partners and Mucciaccia is an art gallery that provides space to artists who work on images through innovation and create an extraordinary adventure and constantly emphasize the art. The Gallery opened in 2006 and slowly made its way through the countries and is now in Singapore, since 2012. It focuses on the 20th Century artists that are proven to be historically significant. It holds solo exhibitions for international artists and also showcases artists from the region.",,singapore
Red Dot Design Museum,3.4,"The Red Dot Design Museum, located located along Waterfront Promenade at Marina Bay is an innovative design gallery of gadgets and art. The boutique museum is a branch of the Red Dot Design Museum in Germany and showcases over 200 contemporary designs - all of which are winners of the International Red Dot Design Award, which is considered to be one of the most prestigious design competitions of the world.",,singapore
Pasir Ris Park,3.4,"Spread along the northeastern coast of Singapore, the Pasir Ris Park is a tranquil 70-hectare waterside park, ideal for a fun day with family. Apart from the usual activities like water sports, cycling, gardening, peaceful Pasir Ris is known for the 6-hectare mangrove forest boardwalk. There are also 65 barbecue pits (bookable and payable on the official website), making it one of the most popular picnic spots in the country.",,singapore
Cavenagh Bridge,3.4,"One of the oldest and most recognizable bridges in Singapore, the Cavenagh Bridge is also the only suspension bridge which spans the lower reaches of the Singapore River. Completed in 1869 and built to celebrate 50 years of the founding of Singapore by Raffles in 1819, the Cavenagh Bridge was one of the first suspension bridges in all of Southeast Asia. Today, the bridge stands as a major tourist attraction, which people love to visit to enjoy a peaceful walk in solitude or to simply stand and watch the ferries pass by.",,singapore
Lian Shan Shuang Lin Monastery,3.3,"Lian Shang Shuang Lin Monastery known earlier as the Siong Lim Temple is a Buddhist monastery based at Toa Payoh, Singapore. The serene monastery consisting of seven different floors that are topped with a gold Pagoda and bears a likeness to the 800-year-old Fujian temple, Shanfeng. This breathtaking temple monastery out as a place of worship amidst the concrete haze of the city.",,singapore
Rainforest Kidzworld,3.3,"Located within Singapore Zoo is the super fun playground for kids called Rainforest Kidzworld. Specifically designed for kids, the playground features a water play area where kids can splash and jump till their feet get tired; get to meet farm animals and get close and cosy with furry pals like cute little bunnies.",,singapore
Sands SkyPark,NaN,"Sands SkyPark is the observation deck located at the spectacular Marina Bay Sands. The humungous wooden deck lies atop the three hotel towers and seems to be floating above the city and all its skyscrapers. Situated on the 57th floor, Sands SkyPark provides a magnificent 360-degree bird's eye view of the entire city, all the way from the Marina South Pier to the Singapore Strait.",,singapore
Sri Krishnan Temple,3.3,"Impossible to miss while visiting Waterloo Street, the colourful Sri Krishnan Temple is a Hindu temple in Singapore dedicated to Lord Krishna and his consort Rukmini. Initially established as a tiny shrine under a banyan tree, the temple today comprises of a large prayer hall and a massive four-storeyed annexe, contained within a 1008 square metre compound. Standing in close proximity to the Kwan Im Thong Hood Cho Temple, Sri Krishnan Temple draws pilgrims and tourists from various religious and ethnic backgrounds.",,singapore
8Q SAM,3.3,"SAM at 8Q - which stands for Singapore Art Museum - is the extension of the Museum’s main building, named so because of its location on 8 Queen Street. The experimental art gallery is located 88 steps away from the main building, adding to its quirky charm. The youngest annex of the Art Museum, SAM at 8Q houses the most diverse and unconventional art exhibits – the contemporary paintings, sculptures, photographs, performance art, sound art, and other new media interactive exhibits here are a favourite among art connoisseurs, the hip crowd, and tourists alike.",,singapore
Chek Jawa Visitor Centre,3.3,"A quaint little cottage situated on the eastern part of the island of Pulau Ubin, the Chek Jawa Visitor Centre is housed in the structur of the former House No. 1, which was built as a holiday home by the British during the colonial era. As it was built around 80 years ago, the cottage, which is situated among dense foliage, has architectural features which are reminiscent of Tudor style buildings, characteristic of 16th century England.",,singapore
Kent Ridge Park,3.3,"The Kent Ridge Park is a sprawling 47-hectare park situated at Kent Ridge, between the Singapore Science Park and the National University of Singapore. It is one of the declared eleven sites of the Second World War in Singapore along with being one of the four primary bird-watching sites in the Lion City. Kent Ridge is popular among nature lovers, bird watchers and fitness enthusiasts owing to its well-paved landscape teeming lush vegetation and diverse wildlife.",,singapore
ReDot Fine Art Gallery,3.3,"Singapore boasts of vibrant paintings, unconventional sculptures and extraordinary architecture. Even if art is not your forte, the sight of the artistic features at every nook of this bustling city-state is sure to mesmerize you. Of the several art galleries spread across Singapore, the fascinating ReDot Fine Art Gallery is one that stands out. Established in 2004, the ReDot Fine Art Gallery was originally a quaint 'Peranakan' shophouse that was later transformed into the beautiful, sophisticated art gallery we see today, located within the Chinatown precinct. This extensive gallery remains unique in the sense that it is the only gallery in Singapore which exhibits Australian Indigenous Art.",,singapore
Thow Kwang Pottery Jungle,3.3,"The Thow Kwang Pottery Jungle is a pottery studio and home to the oldest surviving dragon kiln in Singapore, located near Jurong Eco Park in West Singapore. Built in the 1940s, this studio hosts regular workshops for the whole family on pottery, archery, soap making, painting, and the art of wood-firing. Set in a quiet, rustic atmosphere, Thow Kwang Pottery Jungle is well worth a visit for anyone who wants to experience what Singapore used to be like before the trend of development and industrialisation set in.",,singapore
Abdul Gafoor Mosque,3.3,"Abdul Gafoor Mosque is one of Singapore's most important mosques located in Little India. Gazetted as a protected national monument, it showcases an eclectic mix of Southern Indian, Victorian and Moorish architectural styles. A major highlight is a sundial crowning the main entrance. Each of its 25 rays is decorated with Arabic calligraphy denoting names of 25 prophets.",,singapore
Sri Senpaga Vinayagar Temple,3.3,"Located at Ceylon Road in Singapore, the Sri Senpaga Vinayagar Temple is a 150-year-old Hindu temple dedicated to Lord Ganesha. The temple is most famous for the four granite structures depicting Lord Ganesha in 32 poses. This was the successful work of 20 Indian artisans who spent 20 years on this masterpiece.",,singapore
Singapore Musical Box Museum,3.3,"Positioned adjacent to Thian Hock Keng Temple, Singapore Musical Box Museum is the first musical box museum to have ever been opened in Singapore. The museum attracts visitors that come here to gain knowledge regarding the rise of musical boxes in Singapore during the 19th century.",,singapore
Jamae Mosque,3.3,"Jamae Mosque is one of the oldest mosques in Singapore, located in Chinatown, Central Area. Also known as Masjid Jamae, Chulia Mosque, and Periya Palli by the local Tamil-Muslim community, this two-hundred-year-old place of worship is an iconic landmark in Chinatown, standing out with its distinctive Indo-Islamic architecture among the Oriental buildings. The first mosque built by the south Indian migrant Chulia Muslim community, this shrine is frequented by pious tourists and locals, history buffs, and architecture enthusiasts.",,singapore
Kuan Im Tng Temple,3.3,"The vibrant Kuan Im Tng Temple is situated at the heart of Joo Chiat in Tembeling Road Singapore and is thronged by devotees throughout the year. In addition to being a temple, Kuan Im Tng (devoted to Kuan Yin, the Goddess of Mercy) also doubles as a spiritual hub for the Buddhist fraternity and home to the religions of Taoism and Confucianism. This feature makes Kuan Im Tng Temple stand out from the other temples, as it has managed to accommodate the essence of three different religions with panache into the ""Xian Tian Sect"". If seeking peace and quietude, make sure to visit this place on weekdays.",,singapore
Lorong Buangkok,3.3,"Kampong Lorong Buangkok is a traditional village located in Hougang, a residential town in North-Eastern region of Singapore. Popular as the last remaining village on mainland Singapore, this rustic place provides a link to the past of the Lion City. The houses in this 'kampuang', inhabited by 30 families, are reminiscent of an earlier, quieter era, with wooden houses and tin roofs, lush green trees and dirt roads. The thirty or so families who reside here, lead a relaxed life in their 'kampung', in deep contrast with the skyscrapers so clearly visible behind their village.",,singapore
Sakya Muni Buddha Gaya Temple,3.3,"Sakya Muni Buddha Gaya Temple is a Buddhist monastery situated at Singapore' Little India. Known for housing one of the tallest Buddha statues, it is also popular as the ""Temple of Thousand Lights"". The 15 feet high statue and the architecture of the temple are known to be influenced by Thai, Indian, and Chinese styles.",,singapore
